iter	Passed	Remaining
0	2	248
1	6	315
2	8	269
3	9	235
4	11	220
5	13	212
6	15	207
7	17	202
8	19	196
9	25	227
10	27	221
11	29	215
12	31	208
13	33	203
14	34	198
15	37	196
16	40	197
17	42	195
18	45	193
19	47	188
20	48	183
21	50	179
22	52	175
23	54	172
24	59	179
25	61	175
26	63	171
27	65	168
28	67	164
29	68	160
30	70	157
31	72	154
32	75	152
33	77	149
34	78	146
35	80	143
36	81	139
37	83	136
38	85	133
39	86	130
40	88	127
41	89	123
42	91	121
43	96	122
44	98	119
45	99	117
46	101	114
47	103	112
48	105	110
49	107	107
50	109	105
51	115	107
52	117	104
53	118	101
54	119	97
55	121	95
56	123	92
57	124	90
58	127	88
59	128	85
60	131	84
61	133	81
62	134	79
63	136	76
64	137	74
65	139	71
66	141	69
67	143	67
68	145	65
69	146	62
70	151	62
71	153	59
72	154	57
73	156	54
74	157	52
75	159	50
76	161	48
77	163	46
78	165	43
79	171	42
80	173	40
81	174	38
82	176	36
83	178	33
84	180	31
85	181	29
86	183	27
87	185	25
88	187	23
89	188	20
90	190	18
91	191	16
92	193	14
93	195	12
94	196	10
95	198	8
96	199	6
97	201	4
98	203	2
99	207	0
